name,first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,random_int,random_digit,pyfloat,color_name
Anastasia Guardiola Enríquez,Dalila,Andres,"Urbanización de Hernando Quevedo 9
Málaga, 09928",Baleares,Sevilla,26065,1945-04-04,+34945238668,,tonibru,9^67Ov1X)$,183.34.111.136,4d52:720b:9273:14a1:ad39:9d9b:193d:3ad0,error_value,error_value,http://www.alimentacion.com/,INVALID,6,74.77,Verde lima
Angelita Cañas Calderon,,,"Rambla de José Luis Bilbao 59 Puerta 2 
Asturias, 34064",Melilla,Madrid,INVALID,1964-05-23,+34719 876 683,arocaflora@example.com,godofredocrespi,N0QVzfdy!2,220.32.1.5,a3f5:4b85:fb03:445e:9303:57ae:1665:4826,26:0e:8e:a7:f9:9a,pellicer.es,http://www.recio.com/,INVALID,5,10000000000.0,Coral claro
Rosa María Cuevas Sáenz,Evaristo,Puig,"Ronda Jesús Ariño 22 Piso 1 
Cantabria, 48213",,,29694,32-13-2022,INVALID,carmelita43@example.com,celia47,p88zcO9m*B,97.5.45.147,2263:4269:fcc7:444f:9e20:38d4:4a71:d336,78:d6:0d:4b:b9:ba,vilaplana.com,http://barrio.com/,INVALID,9,10000000000.0,Blanco fantasma
Iván Gomis Almagro,Fermín,Tamarit,"Pasaje Tomasa Estévez 960
Burgos, 40856",Valencia,,18047,1962-07-12,INVALID,gsebastian@example.com,,+!2QYskt%u,181.251.87.135,575e:1583:58c5:841e:2a07:a8bc:9967:61f7,error_value,eleuterio.es,https://www.restauracion.com/,INVALID,4,56.4,Azul polvo
Pánfilo Manso Salamanca,,Vilaplana,"C. de Regina Posada 5
Cádiz, 49539",Vizcaya,Zaragoza,27997,1969-09-29,+34 875173951,ferrandoluis@example.com,paolabueno,,error_value,d040:c98:19e6:3330:284a:7c2b:6b2e:6816,9e:c2:82:72:d9:33,barral.com,http://www.bernal.com/,26,INVALID,10000000000.0,Rojo tomate
Fulgencio Torralba Palau,Etelvina,Corral,"Acceso Renata Cazorla 502
Albacete, 17882",Málaga,,27494,1984-02-02,+34876 653 273,emilia34@example.org,ortunomarciano,5ZP7Qs^H(%,2.101.92.19,b260:387:51c:6aa8:f24b:2457:8702:9192,84:e0:23:4e:d7:fe,olmedo.org,https://www.industrias.org/,43,INVALID,58.39,Plata
Jerónimo Pinilla,Anastasia,Melero,"Vial Fortunata León 14 Apt. 04 
Valencia, 32913",Ávila,Castellón,26562,1964-08-07,+34 900963364,jportillo@example.net,mcabrero,IGa4r4ngk),154.80.22.96,c320:bf9b:fa69:76bc:8eda:8600:17b0:263b,c6:53:ae:12:fe:0d,farmaceutica.com,https://www.casanova.org/,12,5,65.69,Orquídea
Pánfilo Basilio Arcos Crespo,Inés,Barba,"Pasadizo de Consuela Cuenca 4 Piso 2 
Las Palmas, 25466",Álava,Tarragona,INVALID,32-13-2022,+34 877 82 89 62,agatacanellas@example.net,jordan94,kvNGbjpk_8,error_value,error_value,2e:29:1d:30:d4:27,torralba.es,http://distribuciones.es/,68,INVALID,2.8,Azul polvo
,Fabián,Alcalde,"Callejón de Ceferino Benitez 478
Madrid, 27926",Palencia,Tarragona,INVALID,32-13-2022,INVALID,escribanoalicia@example.com,joaquinllano,_slJfXZti6,error_value,790a:6e53:4f0d:9d4b:454a:90fc:5339:2f43,f8:8b:e0:5f:08:40,marcial.org,https://familia.es/,89,0,75.13,Púrpura medio
,Alejandra,Ávila,"Pasadizo Feliciana Viana 9 Puerta 2 
Soria, 25115",Alicante,Palencia,INVALID,32-13-2022,+34806 952 940,silvestrecordero@example.net,gfernandez,vDfM4iqo&_,82.132.91.134,a2d6:855:e5ac:2f61:4a7f:e940:4eed:2e9c,error_value,canellas.com,http://www.estela.com/,INVALID,2,82.82,Verde mar claro
,Virginia,,"Paseo Julieta García 2 Puerta 4 
León, 46221",Sevilla,Valencia,11795,32-13-2022,+34 972 920 387,,casalsamu,%!2NuchVI_,91.135.164.75,3b80:53f9:341c:1c90:7d5f:1af9:8836:ceb1,error_value,aurora.es,error_value,40,INVALID,73.67,Azul cadete
Carina del Aller,,,"Cuesta de Rico Pina 795
Asturias, 35876",Cantabria,Ourense,26063,32-13-2022,+34 921 01 99 24,jonatan83@example.org,,,error_value,error_value,error_value,error_value,https://dionisia.com/,4,9,20.55,Gris pizarra oscuro
Ruperto Barón Cortes,Heriberto,Valderrama,"Paseo de Paulina Llorens 79 Piso 9 
Lugo, 25678",Cáceres,,37695,2009-11-25,INVALID,,madridsaturnino,!3!y9V4p4N,error_value,7d0c:94a0:9ebc:3f7a:119:65e9:1112:4b4e,84:2c:7a:dc:1b:37,transportes.com,https://familia.es/,22,1,10000000000.0,
Pedro Donoso Maza,José,Rivera,"Callejón de María Luisa Armengol 46 Apt. 15 
Girona, 18636",Murcia,La Coruña,36587,1917-02-13,+34845213382,,pascual12,^)Bp_XDZR4,64.159.15.138,703c:3c10:b835:340c:2d3d:8ee6:1019:f8ed,error_value,briones.es,error_value,6,6,99.15,Orquídea
,Cebrián,Losada,"Avenida de Marino Rueda 38
Guipúzcoa, 35362",Teruel,Zamora,30621,1912-11-09,+34 820 647 651,matasluisa@example.net,mendozacarmen,P+_*0Sd@6#,118.34.101.21,6485:fb21:23b0:3c44:d997:413:4857:8f83,9c:f9:68:fb:57:27,error_value,error_value,55,3,10000000000.0,
,Dolores,Prieto,"Cuesta Nando Antón 56 Piso 3 
Álava, 34816",Pontevedra,,23222,2004-11-27,+34822 36 89 40,,cristobalsilva,o)7DowcM&x,175.206.111.103,507b:ac18:6ca7:7579:7ca9:3656:3965:f899,error_value,juan.com,error_value,51,8,85.99,Turquesa medio
Virginia Menendez Merino,Miguel,Andrade,"Cañada Amado Carrillo 518 Apt. 94 
Cantabria, 41588",Badajoz,Lleida,INVALID,2011-12-13,INVALID,ovillaverde@example.net,guitartfederico,5SC1M0YdA(,84.32.103.59,ac10:5d8f:e013:76d1:603b:31d:e4d1:4906,14:5a:52:6c:f4:16,inversiones.es,https://www.arnal.com/,75,INVALID,74.89,Azul marino
Cornelio del Osorio,Amada,Armas,"Avenida de Edelmira Vazquez 51 Piso 8 
Álava, 28910",Las Palmas,Madrid,INVALID,2003-02-16,+34882397751,jordabaldomero@example.net,,A(Ju91_0^3,137.129.82.134,4f03:e887:7cf6:7267:b2eb:5606:d34f:b3e4,error_value,error_value,https://www.distribuciones.org/,7,INVALID,10000000000.0,
Genoveva Giner Tenorio,Marcos,Muro,"Cuesta de Agustina Uría 467
Valladolid, 29050",La Coruña,Alicante,05287,1984-02-22,+34941091402,,,59vIf^xr&n,17.237.166.64,c107:939:f249:4071:fc7b:2e90:87f9:57e9,1e:e6:89:e4:d6:d4,instalaciones.com,http://www.construccion.es/,INVALID,4,84.67,Azul cadete
Alexandra de Palau,Horacio,Goicoechea,"Urbanización de Jose Francisco Villegas 85
Lugo, 47002",Melilla,Navarra,27431,2008-04-29,+34 874112448,gbarrio@example.net,hilarioosorio,wqcH&2YbNj,152.186.151.154,5d6f:2a73:dfc7:b25d:655f:5503:a731:f0bf,5a:c4:9d:42:d3:44,hnos.es,https://www.logistica.es/,11,6,90.27,Violeta
Mirta Ureña Manzanares,Dani,Bonet,"Camino de Alba Sala 4 Apt. 67 
Cuenca, 05227",Guipúzcoa,Badajoz,39035,1961-08-24,INVALID,lladohortensia@example.org,aandrade,%VLyi207#8,97.209.0.244,a6e7:9675:12dc:cd5d:eb18:b166:152:e77b,88:90:61:dc:57:74,mineria.es,https://www.mateu.es/,97,9,74.93,
,Rodolfo,Ródenas,"Urbanización Juanita Rozas 9 Puerta 9 
Lleida, 03169",Segovia,Huelva,06179,1935-04-07,+34888464692,natividadmas@example.com,lopezisidro,&VKLphhFd2,error_value,114c:1d5c:bc6c:fe92:706e:2541:a4ec:da56,32:b1:15:f9:76:79,hermanos.org,error_value,41,0,10000000000.0,Turquesa
